209	0.2501	0.0092	0.0196
300	0.2527	0.0109	0.0269
500	0.2617	0.022	0.0413
610	0.2689	0.0311	0.0506
800	0.2880	0.0535	0.0708
1010	0.3134	0.0868	0.0942
1200	0.3466	0.1352	0.1234
1360	0.3776	0.1852	0.1508
1448	0.4050	0.2381	0.1762
1550	0.4180	0.2680	0.1897
1582	0.4230	0.2811	0.1953
1610	0.4279	0.2952	0.2013
1655	0.4348	0.3153	0.2034
1685	0.4370	0.3293	0.2147
1700	0.4381	0.3359	0.2172
1713	0.4390	0.3417	0.2191
1730	0.4398	0.3491	0.2217
1743	0.4402	0.3549	0.2236
1764	0.4405	0.3639	0.2265
1780	0.4402	0.3703	0.2284
1805	0.4402	0.3801	0.2311
1825	0.4382	0.3877	0.2230
1870	0.4334	0.4027	0.2363
1900	0.4278	0.4133	0.2377
1920	0.4252	0.4168	0.2379
1934	0.4224	0.4201	0.2381
1945	0.4119	0.4226	0.2381
1965	0.4153	0.4266	0.2380
1987	0.4096	0.4304	0.2373
2023	0.3998	0.4354	0.2357
2051	0.3911	0.4384	0.2339
2070	0.3856	0.4397	0.2326
2109	0.3725	0.4413	0.229
2118	0.3693	0.4416	0.2281
2119	0.3651	0.4415	0.2267
2143	0.3608	0.4417	0.2255
2163	0.3538	0.4411	0.2232
2193	0.3434	0.4404	0.2196
2213	0.3364	0.4390	0.2169
2264	0.3188	0.4357	0.2103
2300	0.3043	0.4319	0.2046
2382	0.2799	0.4238	0.1943
2484	0.2503	0.4118	0.1809
2606	0.2191	0.3969	0.1658
2760	0.1866	0.3796	0.1495
2958	0.1542	0.3599	0.1321
3214	0.1233	0.3399	0.1145
4023	0.0697	0.3020	0.0804
5029	0.0414	0.2806	0.0593
7066	0.0196	0.2632	0.0395
10091	0.0094	0.2543	0.0249
17000	0	0.2489	0.0136
